brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,method,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,App,launch_week,21,2000,7,61299.960000000014,30.649980000000006,0.7132365859657754,42.97309,27,True,native_ls_app,0.0027917272386656484,0.33762183461493167,0.001849179166602875,19.138483232133368,6855.4273379805245,0.8152821309431869,-0.10204554497741147,0.10204554497741147,0.1251659285839573,11.511496767866639,11.511496767866639,0.6014842779462755
lonestar,App,launch_day,1,208,1,3434.59,16.512451923076924,0.5639072684584695,29.28221153846154,33,True,ls_web_donor,0.08262562738697628,0.33762183461493167,0.0547294114823756,4.045430136018371,48.96096119272585,0.1767697143440001,0.3871375541144694,0.3871375541144694,2.190067204391619,12.467021787058552,12.467021787058552,3.0817543173119666
lonestar,App,launch_day,3,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True,ls_web_donor,0.1320746605487875,0.33762183461493167,0.08748337134816153,6.466502329671624,48.96096119272585,0.2825612434740791,0.6178360835983427,0.6178360835983427,2.186556358551063,19.899122670328378,19.899122670328378,3.0772621203615764
lonestar,App,launch_day,7,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True,ls_web_donor,0.1991296064549887,0.33762183461493167,0.13189910339750607,9.749576933965471,48.96096119272585,0.42601895760043407,0.48602563497513196,0.48602563497513196,1.1408544767882807,16.95710575834222,16.95710575834222,1.7392658033465265
lonestar,App,launch_day,14,208,1,5984.85,28.77331730769231,0.9826210452000591,29.28221153846154,33,True,ls_web_donor,0.2889096012023405,0.33762183461493167,0.19136741160653803,14.145291772673694,48.96096119272585,0.6180947641896709,0.3645262810103882,0.3645262810103882,0.589757917603923,14.628025535018615,14.628025535018615,1.0341268154876437
lonestar,App,launch_day,21,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True,ls_web_donor,0.35675919955850816,0.33762183461493167,0.23630950408781012,17.467273324732055,48.96096119272585,0.7632525620675893,0.23084663835272368,0.23084663835272368,0.3024511804157969,11.642149752191024,11.642149752191024,0.6665121416349974
lonestar,App,launch_day,28,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True,ls_web_donor,0.418517099944908,0.33762183461493167,0.2772165888437874,20.490999488894804,48.96096119272585,0.895377748344963,0.10216440608720412,0.10216440608720412,0.11410201591009736,8.719240895720581,8.719240895720581,0.42551564653769164
lonestar,App,launch_week,1,2000,7,12780.349999999999,6.390174999999999,0.1487017805794277,42.97309,27,True,ls_web_donor,0.08262562738697628,0.33762183461493167,0.0547294114823756,4.045430136018371,48.96096119272585,0.20340277173427815,-0.05470099115485044,0.05470099115485044,0.26892942848542334,2.344744863981628,2.344744863981628,0.5796033512246965
lonestar,App,launch_week,3,2000,7,21230.09,10.615045,0.24701609774861433,42.97309,27,True,ls_web_donor,0.1320746605487875,0.33762183461493167,0.08748337134816153,6.466502329671624,48.96096119272585,0.3251334105539481,-0.0781173128053338,0.0781173128053338,0.240262336227584,4.148542670328376,4.148542670328376,0.6415435205664023
lonestar,App,launch_week,7,2000,7,35738.89,17.869445,0.41582871978719704,42.97309,27,True,ls_web_donor,0.1991296064549887,0.33762183461493167,0.13189910339750607,9.749576933965471,48.96096119272585,0.49020522044090403,-0.07437650065370699,0.07437650065370699,0.1517252317035929,8.119868066034527,8.119868066034527,0.8328431193508119
